Parcel ;Introduced_bee;Tree;Release_date ;Monitoring_date;Day;nb_cornuta_nesting;cumulated_cornuta_nesting;nb_bicornis_nesting;cumulated_bicornis_nesting;nb_closedtubes;Management;Cumulated_nesting bee;Cumulated_spilled_bee
4;cornuta;apple;43570;43570;day 0;0;0;0;0;0;conventional;0;0
4;bicornis;apple;43570;43570;day 0;0;0;0;0;0;conventional;0;0
1;cornuta;apple;43570;43570;day 0;0;0;0;0;0;conventional;0;0
1;bicornis;apple;43570;43570;day 0;0;0;0;0;0;conventional;0;0
6;cornuta;apple;43573;43575;day 2;44;44;0;0;2;organic;44;0
6;bicornis;apple;43573;43575;day 2;29;29;0;0;0;organic;0;29
7;cornuta;apple;43573;43575;day 2;43;43;0;0;0;organic;43;0
7;bicornis;apple;43573;43575;day 2;31;31;0;0;0;organic;0;31
4;cornuta;apple;43570;43572;day 2;0;0;0;0;0;conventional;0;0
4;bicornis;apple;43570;43572;day 2;0;0;0;0;0;conventional;0;0
1;cornuta;apple;43570;43572;day 2;5;5;0;0;0;conventional;5;0
1;bicornis;apple;43570;43572;day 2;0;0;0;0;0;conventional;0;0
6;cornuta;apple;43573;43577;day 4;123;167;0;0;2;organic;167;0
6;bicornis;apple;43573;43577;day 4;80;109;1;1;0;organic;1;109
7;cornuta;apple;43573;43577;day 4;104;147;0;0;0;organic;147;0
7;bicornis;apple;43573;43577;day 4;92;123;0;0;0;organic;0;123
4;cornuta;apple;43570;43574;day 4;7;7;0;0;0;conventional;7;0
4;bicornis;apple;43570;43574;day 4;4;4;0;0;0;conventional;0;4
1;cornuta;apple;43570;43574;day 4;40;45;0;0;0;conventional;45;0
1;bicornis;apple;43570;43574;day 4;7;7;0;0;0;conventional;0;7
6;cornuta;apple;43573;43579;day 6;95;262;1;1;35;organic;262;1
6;bicornis;apple;43573;43579;day 6;32;141;11;12;35;organic;12;141
7;cornuta;apple;43573;43579;day 6;56;203;1;1;41;organic;203;1
7;bicornis;apple;43573;43579;day 6;74;197;2;2;47;organic;2;197
4;cornuta;apple;43570;43576;day 6;30;37;1;1;0;conventional;37;1
4;bicornis;apple;43570;43576;day 6;6;10;2;2;0;conventional;2;10
1;cornuta;apple;43570;43576;day 6;46;91;0;0;1;conventional;91;0
1;bicornis;apple;43570;43576;day 6;33;40;0;0;0;conventional;0;40
6;cornuta;apple;43573;43582;day 8;34;296;0;1;193;organic;296;1
6;bicornis;apple;43573;43582;day 8;8;149;8;20;105;organic;20;149
7;cornuta;apple;43573;43582;day 8;24;227;0;1;132;organic;227;1
7;bicornis;apple;43573;43582;day 8;28;225;3;5;122;organic;5;225
4;cornuta;apple;43570;43578;day 8;28;65;2;3;2;conventional;65;3
4;bicornis;apple;43570;43578;day 8;4;14;13;15;3;conventional;15;14
1;cornuta;apple;43570;43578;day 8;26;117;0;0;7;conventional;117;0
1;bicornis;apple;43570;43578;day 8;28;68;7;7;1;conventional;7;68
6;cornuta;apple;43573;43584;day 10;57;353;0;1;194;organic;353;1
6;bicornis;apple;43573;43584;day 10;21;170;4;24;105;organic;24;170
7;cornuta;apple;43573;43584;day 10;39;266;0;1;137;organic;266;1
7;bicornis;apple;43573;43584;day 10;38;263;4;9;129;organic;9;263
4;cornuta;apple;43570;43580;day 10;12;77;2;5;9;conventional;77;5
4;bicornis;apple;43570;43580;day 10;3;17;14;29;5;conventional;29;17
1;cornuta;apple;43570;43580;day 10;9;126;0;0;19;conventional;126;0
1;bicornis;apple;43570;43580;day 10;5;73;18;25;2;conventional;25;73
6;cornuta;apple;43573;43586;day 13;39;392;3;4;199;organic;392;4
7;cornuta;apple;43573;43586;day 13;36;302;3;4;141;organic;302;4
6;bicornis;apple;43573;43586;day 13;39;209;14;38;116;organic;38;209
7;bicornis;apple;43573;43586;day 13;10;273;12;21;143;organic;21;273
4;cornuta;apple;43570;43583;day 13;0;77;0;5;9;conventional;77;5
4;bicornis;apple;43570;43583;day 13;0;17;0;29;8;conventional;29;17
1;cornuta;apple;43570;43583;day 13;0;126;0;0;32;conventional;126;0
1;bicornis;apple;43570;43583;day 13;0;73;0;25;2;conventional;25;73
6;cornuta;apple;43573;43591;day 18;4;396;0;4;278;organic;396;4
7;cornuta;apple;43573;43591;day 18;6;308;1;5;181;organic;308;5
6;bicornis;apple;43573;43591;day 18;2;211;0;38;125;organic;38;211
7;bicornis;apple;43573;43591;day 18;3;276;0;21;193;organic;21;276
4;cornuta;apple;43570;43587;day 18;5;87;1;6;13;conventional;87;6
4;bicornis;apple;43570;43587;day 18;2;20;25;68;19;conventional;68;20
1;cornuta;apple;43570;43587;day 18;8;137;3;3;59;conventional;137;3
1;bicornis;apple;43570;43587;day 18;5;78;16;44;11;conventional;44;78
